MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941892,37.7899343,0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,114.1020000,-282.8983154,290.1366577,-0.0787534
MsgID.LOCAL_VELOCITY,114.1020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899343,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,114.3520000,-282.9001465,290.0068054,-0.0724578
MsgID.LOCAL_VELOCITY,114.3520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941924,37.7899332,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,114.6020000,-283.0208130,289.8514404,-0.0629411
MsgID.LOCAL_VELOCITY,114.6020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899317,0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,114.8520000,-283.1889343,289.9952393,-0.0533835
MsgID.LOCAL_VELOCITY,114.8520000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,115.1020000,-283.0798645,290.0330505,-0.0465000
MsgID.LOCAL_VELOCITY,115.1020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941904,37.7899327,0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,115.3520000,-283.0517883,290.0026855,-0.0459820
MsgID.LOCAL_VELOCITY,115.3520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899330,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,115.6020000,-283.0071106,290.0026855,-0.0542244
MsgID.LOCAL_VELOCITY,115.6020000,0.0000040,0.0000357,0.0000064
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899334,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,115.8520000,-283.0373230,289.9111328,-0.0732063
MsgID.LOCAL_VELOCITY,115.8520000,0.0000042,0.0000379,0.0000080
MsgID.GLOBAL_POSITION,0.0000000,-122.3941918,37.7899331,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941916,37.7899321,0.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,116.1020000,-283.1411743,289.9235535,-0.0991254
MsgID.LOCAL_VELOCITY,116.1020000,0.0000053,0.0000480,0.0000123
MsgID.GLOBAL_POSITION,0.0000000,-122.3941892,37.7899317,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,116.3530000,-283.1875610,290.1373901,-0.1323995
MsgID.LOCAL_VELOCITY,116.3530000,0.0000053,0.0000525,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3941889,37.7899331,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,116.6020000,-283.0322876,290.1633606,-0.1681360
MsgID.LOCAL_VELOCITY,116.6020000,-0.0000002,0.0000522,0.0000160
MsgID.LOCAL_POSITION,116.8520000,-283.0428467,290.0855103,-0.2012452
MsgID.LOCAL_VELOCITY,116.8520000,-0.0000041,0.0000502,0.0000131
MsgID.GLOBAL_POSITION,0.0000000,-122.3941898,37.7899330,0.2010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941911,37.7899329,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,117.1020000,-283.0553284,289.9654236,-0.2300413
MsgID.LOCAL_VELOCITY,117.1020000,-0.0000035,0.0000512,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3941909,37.7899331,0.2530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,117.3520000,-283.0319824,289.9864197,-0.2537991
MsgID.LOCAL_VELOCITY,117.3520000,0.0000045,0.0000624,0.0000153
MsgID.GLOBAL_POSITION,0.0000000,-122.3941909,37.7899343,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,117.6030000,-282.9054565,289.9912720,-0.2636600
MsgID.LOCAL_VELOCITY,117.6030000,-0.0000050,0.0000487,0.0000217
MsgID.LOCAL_POSITION,117.8530000,-283.0003662,289.9235535,-0.2604010
MsgID.LOCAL_VELOCITY,117.8530000,-0.0000011,0.0000555,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3941916,37.7899334,0.2600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941922,37.7899330,0.2440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.1020000,-283.0438538,289.8729553,-0.2440893
MsgID.LOCAL_VELOCITY,118.1020000,0.0000047,0.0000620,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899326,0.2180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.3520000,-283.0916443,289.9981995,-0.2183963
MsgID.LOCAL_VELOCITY,118.3520000,-0.0005132,-0.0002496,0.0000739
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899328,0.1850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.6020000,-283.0708618,290.0026855,-0.1859474
MsgID.LOCAL_VELOCITY,118.6020000,0.0000054,0.0000630,0.0000228
MsgID.GLOBAL_POSITION,0.0000000,-122.3941911,37.7899329,0.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.8520000,-283.0548096,289.9712524,-0.1549986
MsgID.LOCAL_VELOCITY,118.8520000,0.0000057,0.0000577,0.0000172
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941904,37.7899327,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,119.1020000,-283.0759583,290.0342712,-0.1294564
MsgID.LOCAL_VELOCITY,119.1020000,-0.0000012,0.0000489,0.0000223
MsgID.GLOBAL_POSITION,0.0000000,-122.3941887,37.7899317,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,119.3520000,-283.1889343,290.1867981,-0.1093230
MsgID.LOCAL_VELOCITY,119.3520000,-0.0000021,0.0000514,0.0000130
MsgID.GLOBAL_POSITION,0.0000000,-122.3941892,37.7899333,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,119.6030000,-283.0144043,290.1349487,-0.0968765
MsgID.LOCAL_VELOCITY,119.6030000,-0.0000021,0.0000511,0.0000146
